,coilable,sigma_crit,energy
624,1.0,10.994168820879183,
625,1.0,121.62493427128167,32.25706852869095
626,1.0,18.37157339098366,27.27544089263668
627,0.0,11.33374180746005,7.81396479828807
628,0.0,,
629,1.0,67.17357190113772,37.733976496203816
630,0.0,26.280937442878493,
631,1.0,53.46842144160843,31.222095729950013
632,1.0,17.528688812368983,6.1491724171749285
633,0.0,55.08416242387735,
634,1.0,3.5706729792552907,
635,1.0,101.2722001486901,76.05941161463271
636,1.0,42.45999233782821,41.24152444463338
637,0.0,14.773398437562092,
638,1.0,41.960882436292025,
639,0.0,64.02867022564186,
640,1.0,14.236091349683852,18.990205331319007
641,1.0,74.44376970157549,14.784871818269718
642,1.0,38.06222295031295,59.10627016106346
643,1.0,8.274401829370401,24.03219054277476
644,0.0,6.539103653850849,
645,0.0,113.54113640175812,
646,1.0,44.76964887197779,32.08878622309636
647,0.0,85.4993086685109,
648,1.0,35.471180476776894,13.110818297972372
649,0.0,90.68012037603827,
650,1.0,2.3756103425668664,
651,1.0,96.14231802295214,21.400730512533645
652,1.0,29.084610920385323,39.94047149680712
653,0.0,33.73575497730287,
654,1.0,5.209332273329444,27.407341520546662
655,1.0,70.07655806313389,
656,1.0,40.117231575515504,
657,0.0,67.64721701177919,
658,1.0,15.519516810776896,17.961779024454916
659,0.0,3.75351017787926,2.1727027886452404
660,1.0,5.990337410069993,
661,1.0,1.178854297283945,
662,0.0,23.97510062736312,
663,0.0,45.07013340453529,
664,1.0,20.281432708086403,
665,1.0,32.57965347068334,25.92033456446737
666,0.0,67.85093533893682,
667,1.0,138.78311037613273,55.46133301818925
668,1.0,90.17591751632315,38.35165153169299
669,0.0,9.139058804200053,
670,1.0,10.45024088736832,
671,1.0,26.273298005610084,26.428537682555906
672,0.0,4.265989094635163,
673,1.0,23.26208648231142,23.441521947012827
674,1.0,0.4720662936060089,
675,1.0,45.073953123169495,
676,1.0,18.28881282057588,
677,1.0,17.643280371395146,8.664505861869788
678,1.0,116.27860142293872,35.68988130744259
679,1.0,37.50581726926369,
680,1.0,1.7487945146937458,
681,0.0,43.18955859696145,
682,1.0,24.525140110688707,31.220342196945804
683,0.0,40.58705696752278,
684,1.0,90.90039081727748,27.331403587283432
685,1.0,11.81095198882679,32.27787033776155
686,0.0,16.48972534386509,
687,1.0,22.77061601804365,
688,1.0,12.522947542242694,
689,1.0,80.60497585854895,
690,0.0,35.727101625268666,
691,1.0,34.61556350271487,33.20369147721151
692,1.0,2.884269540688564,15.734912751817328
693,1.0,117.17623530197702,18.64181079810304
694,1.0,7.896122360629586,
695,0.0,5.2723576307938345,3.606719362231408
696,1.0,75.8379670030605,
697,0.0,0.791764010893561,
698,1.0,28.97001936135916,
699,1.0,56.44143577856503,11.035818719260774
700,1.0,14.628249129462285,5.936572763349719
701,0.0,75.39997259967161,
702,1.0,28.720464410591067,20.73906025457097
703,1.0,114.56736747481466,37.52812239829596
704,1.0,22.93741039840396,
705,0.0,90.24467245173884,
706,0.0,12.573749800077628,
707,1.0,38.370346920138864,
708,1.0,23.484903402640075,42.29397820069035
709,0.0,21.935370876697384,
710,1.0,51.957086102007786,36.62833950653974
711,1.0,17.45866063740855,3.348752140345296
712,1.0,22.61528079358596,27.42652333082628
713,0.0,45.85317572454741,
714,1.0,64.28204489504417,71.34979442182481
715,0.0,25.77291486452916,
716,0.0,19.79887492063178,
717,1.0,11.147721509974245,
718,1.0,2.460790068109649,
719,1.0,25.34383313795341,
720,1.0,8.409110573203382,6.086484842710897
721,0.0,31.530504085821565,
722,0.0,33.02528731134065,
723,0.0,126.36775157542016,
724,1.0,10.859969372864096,
725,0.0,21.95319623032368,
726,1.0,5.9572331819068784,12.341375855147335
727,0.0,74.5774598537727,
728,1.0,28.28247000720217,37.86468233893007
729,1.0,43.40218960093223,19.29469153960093
730,1.0,36.54197493389917,24.194300463141307
731,1.0,3.6008487564655134,8.81598484301297
732,1.0,28.4390784712046,
733,1.0,119.82712003411564,31.63182370273412
734,0.0,5.487789761763025,
735,0.0,44.36221221766254,
736,1.0,30.207608198841736,
737,1.0,12.633719382634652,13.74195488758882
738,0.0,49.27182390216133,
739,0.0,16.468080271604595,8.57646018441782
740,1.0,44.26417277271793,
741,0.0,48.98534500459592,
742,1.0,5.066602120364633,8.293139519181851
743,1.0,112.2182405147783,50.30141105223797
744,0.0,17.521049375100574,
745,1.0,81.93551118279719,27.98438071078766
746,1.0,22.187472306554945,16.275232705562882
747,1.0,39.30745122506395,52.86284499877788
748,1.0,2.5145207768974727,
749,0.0,8.428209166374408,
750,1.0,27.56436290397154,26.07156195339423
751,0.0,35.6379748571372,
752,1.0,41.93541764539732,
753,0.0,10.173820582206318,3.0678964949432257
754,1.0,9.641733776461493,
755,1.0,94.07712348139172,17.233478046111678
756,0.0,1.879428891983573,1.91803632784143
757,0.0,39.238696289648246,
758,0.0,18.12074520067084,
759,1.0,3.5396059343637525,31.141218719310853
760,1.0,14.872711122051436,17.350046208158663
761,1.0,94.35723618123345,46.83296801506527
762,1.0,21.50246943148743,4.921916878028321
763,1.0,25.4265937083612,
764,1.0,76.79416990115661,
765,1.0,24.602807722917547,
766,1.0,49.80403803186063,64.86600453856055
